NumerTestu,Wariant,ShellSort,MergeSort,QuickSort
52,75.000% posortowana,34000,31600,33600
52,95.000% posortowana,23200,28900,19400
52,99.000% posortowana,8900,32200,17100
52,99.700% posortowana,5500,18300,23300
52,100.000% posortowana,3200,18400,7400
52,Tablica odwrotna,41800,60700,37800
53,0.000% posortowana,41000,55200,44200
53,25.000% posortowana,51800,80100,47000
53,50.000% posortowana,46000,42500,40600
53,75.000% posortowana,40600,43800,32300
53,95.000% posortowana,31100,38100,24100
53,99.000% posortowana,10700,22200,21100
53,99.700% posortowana,5700,20700,19200
53,100.000% posortowana,3300,17700,9500
53,Tablica odwrotna,46900,88100,40800
54,0.000% posortowana,46000,58300,46100
54,25.000% posortowana,48500,45700,35400
54,50.000% posortowana,42000,35700,39700
54,75.000% posortowana,35700,27000,30000
54,95.000% posortowana,23300,30100,24300
54,99.000% posortowana,11500,19000,22600
54,99.700% posortowana,5800,22400,44800
54,100.000% posortowana,3300,24100,16600
54,Tablica odwrotna,41000,59900,42600
55,0.000% posortowana,44500,67700,36900
55,25.000% posortowana,47900,47300,35100
55,50.000% posortowana,46600,41700,34900
55,75.000% posortowana,58500,39500,29200
55,95.000% posortowana,27700,27000,20200
55,99.000% posortowana,9500,18600,13600
55,99.700% posortowana,7700,32500,33000
55,100.000% posortowana,3400,18300,12100
55,Tablica odwrotna,46600,74100,46300
56,0.000% posortowana,43400,57400,36400
56,25.000% posortowana,47300,47500,43600
56,50.000% posortowana,48900,51200,32300
56,75.000% posortowana,35900,31300,31200
56,95.000% posortowana,24500,20600,33500
56,99.000% posortowana,11900,28000,56100
56,99.700% posortowana,9400,25500,90700
56,100.000% posortowana,3300,18500,11300
56,Tablica odwrotna,49000,79200,50600
57,0.000% posortowana,47100,57000,37600
57,25.000% posortowana,44100,48000,47700
57,50.000% posortowana,39100,40200,36200
57,75.000% posortowana,36600,30400,27100
57,95.000% posortowana,25800,20600,22200
57,99.000% posortowana,10000,24400,17300
57,99.700% posortowana,6200,26800,20500
57,100.000% posortowana,3200,18800,7600
57,Tablica odwrotna,48900,58500,52100
58,0.000% posortowana,41200,54200,37200
58,25.000% posortowana,40300,59900,40700
58,50.000% posortowana,50000,41400,32800
58,75.000% posortowana,46800,46500,33200
58,95.000% posortowana,31900,28700,30500
58,99.000% posortowana,11000,40400,22800
58,99.700% posortowana,6100,32600,23100
58,100.000% posortowana,3800,25600,7300
58,Tablica odwrotna,42100,58200,42100
59,0.000% posortowana,48900,77400,55700
59,25.000% posortowana,52900,63500,44900
59,50.000% posortowana,58100,54300,40400
59,75.000% posortowana,35200,35500,40500
59,95.000% posortowana,24200,27700,25700
59,99.000% posortowana,9900,28300,41900
59,99.700% posortowana,6200,27900,67100
59,100.000% posortowana,3300,28500,12100
59,Tablica odwrotna,45900,57000,52800
60,0.000% posortowana,45300,67900,41300
60,25.000% posortowana,40700,55300,35300
60,50.000% posortowana,38100,41500,31200
60,75.000% posortowana,41200,40400,34000
60,95.000% posortowana,31200,33000,21600
60,99.000% posortowana,8700,34000,42100
60,99.700% posortowana,10900,34500,40700
60,100.000% posortowana,3300,17800,8700
60,Tablica odwrotna,60400,59000,45000
61,0.000% posortowana,43200,57000,39000
61,25.000% posortowana,41900,53400,37500
61,50.000% posortowana,47900,55300,34900
61,75.000% posortowana,42000,30500,27000
61,95.000% posortowana,22900,28900,19400
61,99.000% posortowana,9600,18700,15600
61,99.700% posortowana,5200,21900,20800
61,100.000% posortowana,3300,17800,7400
61,Tablica odwrotna,41400,56700,38700
62,0.000% posortowana,41100,62900,38700
62,25.000% posortowana,40900,49900,36000
62,50.000% posortowana,38400,37400,39200
62,75.000% posortowana,35100,30600,37200
62,95.000% posortowana,22700,26400,21600
62,99.000% posortowana,10500,18900,14600
62,99.700% posortowana,5700,26900,16700
62,100.000% posortowana,3400,17700,7900
62,Tablica odwrotna,54500,60800,52700
63,0.000% posortowana,41400,61200,38800
63,25.000% posortowana,48200,50000,38000
63,50.000% posortowana,38600,37300,32600
63,75.000% posortowana,35000,27600,27000
63,95.000% posortowana,21300,22500,21200
63,99.000% posortowana,9500,33600,22200
63,99.700% posortowana,4300,18900,15400
63,100.000% posortowana,4600,19000,7300
63,Tablica odwrotna,44300,62800,39000
64,0.000% posortowana,41900,56900,38800
64,25.000% posortowana,40200,46400,35700
64,50.000% posortowana,38900,36100,32800
64,75.000% posortowana,35600,28600,33600
64,95.000% posortowana,21700,23600,24100
64,99.000% posortowana,9500,19000,29900
64,99.700% posortowana,5600,18100,46700
64,100.000% posortowana,3300,29500,10900
64,Tablica odwrotna,41800,64600,36400
65,0.000% posortowana,41500,51800,37000
65,25.000% posortowana,50700,45000,35800
65,50.000% posortowana,38200,35800,31900
65,75.000% posortowana,42300,28400,29200
65,95.000% posortowana,23200,22300,21600
65,99.000% posortowana,9100,18100,36000
65,99.700% posortowana,5600,18100,47100
65,100.000% posortowana,3200,19400,8900
65,Tablica odwrotna,42200,58000,46700
